SN,Pers1_id,pay5_2,pay5_3a,pay5_3aOther,pay5_3b__0,pay5_4,pay5_5,pay5_6
2810,Friend,Urban community, , ,Singida,When they ask you to/in an emergency,Through mobile phone using the same network,Other
1582,Friend,Urban community, , ,Dar es Salaam,When you can,Through mobile phone using the same network,Other
4939,Friend,Urban community, , ,Manyara,When they ask you to/in an emergency,Through mobile phone using the same network,Other
9264,Friend,Urban community, , ,Katavi,Seasonally,Through mobile phone using the same network,Other
8006,Friend,Rural village, , ,Mtwara,Seasonally,Through mobile phone using the same network,Other
5002,Friend,Urban community, , ,Dodoma,When they ask you to/in an emergency,Through mobile phone using the same network,Other
2911,Friend,Urban community, , ,Dar es Salaam,When you can,Through mobile phone using the same network,Other
8945,Friend,Urban community, , ,Geita,When they ask you to/in an emergency,Through mobile phone using the same network,Other
7267,Friend,Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone using the same network,Other
2914,Friend,Rural village, , ,Singida,When they ask you to/in an emergency,Through mobile phone using the same network,Other
8950,Friend,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Other
5034,Friend,Rural village, , ,Manyara,Several times a year,Through mobile phone using the same network,Other
8018,Friend,Urban community, , ,Mtwara,Monthly,Through mobile phone using the same network,Other
8985,Friend,Urban community, , ,Shinyanga,Several times a year,Through mobile phone using the same network,Other
3460,Other family member,Urban community, , ,Mwanza,Seasonally,Through mobile phone using the same network,Other
6139,Other family member,Urban community, , ,Dar es Salaam,Monthly,Through mobile phone using the same network,Other
8721,Other family member,Urban community, , ,Mbeya,When you can,Through mobile phone using the same network,Other
7937,Other family member,Rural village, , ,Mtwara,Monthly,Through mobile phone using the same network,Other
6643,Other family member,Urban community, , ,Morogoro,Several times a year,Through mobile phone using the same network,Other
6292,Other family member,Urban community, , ,Mjini Magharibi,Seasonally,Through mobile phone using the same network,Other
5617,Other family member,Rural village, , ,Geita,When you can,Through mobile phone using the same network,Other
8749,Other family member,Urban community, , ,Mwanza,Several times a year,Through mobile phone using the same network,Other
1900,Other family member,Rural village, , ,Pwani,Only once off/Once a year,Through mobile phone using the same network,Other
8756,Other family member,Rural village, , ,Tabora,Only once off/Once a year,Through mobile phone using the same network,Other
8787,Other family member,Urban community, , ,Dar es Salaam,When you can,Through mobile phone using the same network,Other
9550,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Other
6548,Other family member,Urban community, , ,Mjini Magharibi,Monthly,Through mobile phone using the same network,Other
8812,Other family member,Urban community, , ,Dar es Salaam,When you can,Through mobile phone using the same network,Other
8822,Other family member,Urban community, , ,Dar es Salaam,When you can,Through mobile phone using the same network,Other
4881,Other family member,Urban community, , ,Arusha,When they ask you to/in an emergency,Through mobile phone using the same network,Other
2810,Other family member,Urban community, , ,Arusha,When they ask you to/in an emergency,Through mobile phone using the same network,Other
1982,Other family member,Rural village, , ,Mtwara,Only once off/Once a year,Through mobile phone using the same network,Other
7190,Other family member,Urban community, , ,Dar es Salaam,When you can,Through mobile phone using the same network,Other
1755,Other family member,Urban community, , ,Dar es Salaam,Only once off/Once a year,Through mobile phone using the same network,Other
8868,Other family member,Urban community, , ,Kigoma,Monthly,Through mobile phone using the same network,Other
8174,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Other
1787,Other family member,Rural village, , ,Lindi,When they ask you to/in an emergency,Through mobile phone using the same network,Other
6232,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Other
7742,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Other
8920,Other family member,Urban community, , ,Mara,When you can,Through mobile phone using the same network,Other
8933,Other family member,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Other
8935,Other family member,Urban community, , ,Mara,When they ask you to/in an emergency,Through mobile phone using the same network,Other
8937,Other family member,Rural village, , ,Geita,When you can,Through mobile phone using the same network,Other
2907,Other family member,Rural village, , ,Arusha,When they ask you to/in an emergency,Through mobile phone using the same network,Other
4999,Other family member,Rural village, , ,Singida,When they ask you to/in an emergency,Through mobile phone using the same network,Other
5039,Other family member,Rural village, , ,Manyara,When you can,Through mobile phone using the same network,Other
6342,Other family member,Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone using the same network,Other
1158,Other family member,Urban community, , ,Arusha,When they ask you to/in an emergency,Through mobile phone using the same network,Other
9370,Parent,Urban community, , ,Shinyanga,When they ask you to/in an emergency,Through mobile phone using the same network,Other
1591,Parent,Rural village, , ,Pwani,When they ask you to/in an emergency,Through mobile phone using the same network,Other
284,Parent,Rural village, , ,Dodoma,Several times a year,Through mobile phone using the same network,Other
4966,Parent,Rural village, , ,Manyara,When they ask you to/in an emergency,Through mobile phone using the same network,Other
2891,Parent,Urban community, , ,Singida,When they ask you to/in an emergency,Through mobile phone using the same network,Other
9466,Parent,Rural village, , ,Shinyanga,Only once off/Once a year,Through mobile phone using the same network,Other
8951,Parent,Rural village, , ,Mwanza,When you can,Through mobile phone using the same network,Other
9486,Parent,Urban community, , ,Geita,Monthly,Through mobile phone using the same network,Other
7942,Child,Rural village, , ,Ruvuma,Several times a year,Through mobile phone using the same network,Other
5733,Child,Urban community, , ,Mbeya,When they ask you to/in an emergency,Through mobile phone using the same network,Other
3399,Child,Urban community, , ,Mbeya,When you can,Through mobile phone using the same network,Other
8718,Spouse,Urban community, , ,Mara,When they ask you to/in an emergency,Through mobile phone using the same network,Other
1543,Spouse,Rural village, , ,Pwani,When they ask you to/in an emergency,Through mobile phone using the same network,Other
8606,Spouse,Urban community, , ,Shinyanga,Seasonally,Through mobile phone using the same network,Other
6918,Friend,Outside of Tanzania,England, , ,When they ask you to/in an emergency,Through Western Union/Money gram /NALA,Other
7432,"Other, specify",Urban community, , ,Dar es Salaam,Several times a year,Bank transfer/Pay into bank account,Other
7536,"Other, specify",Urban community, , ,Dar es Salaam,Monthly,Bank transfer/Pay into bank account,Other
2915,"Other, specify",Rural village, , ,Morogoro,When they ask you to/in an emergency,Bank transfer/Pay into bank account,Other
910,Other family member,Urban community, , ,Tanga,When they ask you to/in an emergency,Through Agent,Social event
3142,Friend,Rural village, , ,Tabora,When you can,Friends or family takes it there,Social event
850,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Friends or family takes it there,Social event
940,Other family member,Rural village, , ,Manyara,When they ask you to/in an emergency,Friends or family takes it there,Social event
1042,Other family member,Urban community, , ,Dar es Salaam,When you can,Friends or family takes it there,Social event
7094,Other family member,Urban community, , ,Tanga,When you can,Friends or family takes it there,Social event
7104,Other family member,Urban community, , ,Dar es Salaam,Several times a year,Friends or family takes it there,Social event
865,Other family member,Outside of Tanzania,Kenya, , ,Only once off/Once a year,Through mobile phone:different network,Social event
909,Someone who borrowed money from you,Urban community, , ,Tanga,Only once off/Once a year,Through mobile phone:different network,Social event
931,Someone who borrowed money from you,Urban community, , ,Tanga,Only once off/Once a year,Through mobile phone:different network,Social event
4049,Friend,Urban community, , ,Mwanza,Only once off/Once a year,Through mobile phone:different network,Social event
7028,Friend,Rural village, , ,Arusha,When they ask you to/in an emergency,Through mobile phone:different network,Social event
6563,Friend,Urban community, , ,Kusini Unguja,Several times a year,Through mobile phone:different network,Social event
7642,Friend,Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone:different network,Social event
2239,Friend,Urban community, , ,Ruvuma,Several times a year,Through mobile phone:different network,Social event
7652,Friend,Urban community, , ,Dar es Salaam,Weekly,Through mobile phone:different network,Social event
4932,Friend,Rural village, , ,Manyara,Monthly,Through mobile phone:different network,Social event
290,Friend,Rural village, , ,Dodoma,Several times a year,Through mobile phone:different network,Social event
1061,Friend,Urban community, , ,Arusha,When they ask you to/in an emergency,Through mobile phone:different network,Social event
2503,Friend,Rural village, , ,Iringa,Only once off/Once a year,Through mobile phone:different network,Social event
1153,Friend,Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone:different network,Social event
7006,Other family member,Urban community, , ,Tanga,When you can,Through mobile phone:different network,Social event
8041,Other family member,Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone:different network,Social event
6298,Other family member,Urban community, , ,Shinyanga,When they ask you to/in an emergency,Through mobile phone:different network,Social event
7491,Other family member,Urban community, , ,Dar es Salaam,Seasonally,Through mobile phone:different network,Social event
7029,Other family member,Urban community, , ,Kaskazini Unguja,When they ask you to/in an emergency,Through mobile phone:different network,Social event
7182,Other family member,Urban community, , ,Arusha,Only once off/Once a year,Through mobile phone:different network,Social event
4622,Other family member,Rural village, , ,Mara,When they ask you to/in an emergency,Through mobile phone:different network,Social event
3085,Other family member,Urban community, , ,Dodoma,Seasonally,Through mobile phone:different network,Social event
8599,Other family member,Urban community, , ,Shinyanga,Only once off/Once a year,Through mobile phone:different network,Social event
1065,Other family member,Urban community, , ,Dodoma,When they ask you to/in an emergency,Through mobile phone:different network,Social event
1067,Other family member,Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone:different network,Social event
2313,Other family member,Rural village, , ,Ruvuma,When they ask you to/in an emergency,Through mobile phone:different network,Social event
1097,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone:different network,Social event
8633,Other family member,Urban community, , ,Shinyanga,Several times a year,Through mobile phone:different network,Social event
4505,Other family member,Urban community, , ,Mwanza,Seasonally,Through mobile phone:different network,Social event
2324,Other family member,Urban community, , ,Iringa,When you can,Through mobile phone:different network,Social event
7100,Other family member,Urban community, , ,Tanga,Several times a year,Through mobile phone:different network,Social event
9852,Other family member,Urban community, , ,Mjini Magharibi,When they ask you to/in an emergency,Through mobile phone:different network,Social event
4710,Parent,Rural village, , ,Mara,Only once off/Once a year,Through mobile phone:different network,Social event
1151,Child,Urban community, , ,Kilimanjaro,When you can,Through mobile phone:different network,Social event
993,Spouse,Rural village, , ,Tanga,When you can,Through mobile phone:different network,Social event
6972,Spouse,Urban community, , ,Kilimanjaro,Seasonally,Through mobile phone:different network,Social event
4813,"Other, specify",Urban community, , ,Manyara,Several times a year,Through mobile phone using the same network,Social event
9214,"Other, specify",Urban community, , ,Njombe,Only once off/Once a year,Through mobile phone using the same network,Social event
7006,Someone who borrowed money from you,Urban community, , ,Tanga,Several times a year,Through mobile phone using the same network,Social event
4754,Friend,Rural village, , ,Manyara,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
6818,Friend,Urban community, , ,Arusha,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
7006,Friend,Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone using the same network,Social event
132,Friend,Urban community, , ,Manyara,Only once off/Once a year,Through mobile phone using the same network,Social event
3815,Friend,Urban community, , ,Shinyanga,Several times a year,Through mobile phone using the same network,Social event
7953,Friend,Urban community, , ,Mtwara,Several times a year,Through mobile phone using the same network,Social event
931,Friend,Urban community, , ,Kilimanjaro,Only once off/Once a year,Through mobile phone using the same network,Social event
7056,Friend,Urban community, , ,Dar es Salaam,When you can,Through mobile phone using the same network,Social event
1029,Friend,Rural village, , ,Tabora,Only once off/Once a year,Through mobile phone using the same network,Social event
1795,Friend,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
8191,Friend,Urban community, , ,Dodoma,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
7745,Friend,Urban community, , ,Kigoma,Seasonally,Through mobile phone using the same network,Social event
9466,Friend,Rural village, , ,Geita,Only once off/Once a year,Through mobile phone using the same network,Social event
8201,Friend,Urban community, , ,Mbeya,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
8624,Friend,Urban community, , ,Dodoma,Seasonally,Through mobile phone using the same network,Social event
777,Friend,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
791,Friend,Urban community, , ,Arusha,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
5056,Friend,Urban community, , ,Singida,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
4748,Other family member,Rural village, , ,Manyara,Several times a year,Through mobile phone using the same network,Social event
7408,Other family member,Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone using the same network,Social event
5606,Other family member,Urban community, , ,Geita,Seasonally,Through mobile phone using the same network,Social event
840,Other family member,Urban community, , ,Dar es Salaam,When you can,Through mobile phone using the same network,Social event
7014,Other family member,Urban community, , ,Dar es Salaam,Only once off/Once a year,Through mobile phone using the same network,Social event
6366,Other family member,Urban community, , ,Mjini Magharibi,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
7483,Other family member,Urban community, , ,Mtwara,Only once off/Once a year,Through mobile phone using the same network,Social event
9381,Other family member,Rural village, , ,Geita,Several times a year,Through mobile phone using the same network,Social event
7019,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
7021,Other family member,Urban community, , ,Tanga,Several times a year,Through mobile phone using the same network,Social event
882,Other family member,Urban community, , ,Arusha,Only once off/Once a year,Through mobile phone using the same network,Social event
425,Other family member,Urban community, , ,Arusha,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
7518,Other family member,Urban community, , ,Singida,Seasonally,Through mobile phone using the same network,Social event
6392,Other family member,Rural village, , ,Kaskazini Pemba,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
7028,Other family member,Urban community, , ,Dar es Salaam,When you can,Through mobile phone using the same network,Social event
7565,Other family member,Urban community, , ,Morogoro,Several times a year,Through mobile phone using the same network,Social event
4355,Other family member,Urban community, , ,Mwanza,When you can,Through mobile phone using the same network,Social event
6946,Other family member,Urban community, , ,Arusha,Only once off/Once a year,Through mobile phone using the same network,Social event
2594,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
2604,Other family member,Urban community, , ,Mbeya,When you can,Through mobile phone using the same network,Social event
7620,Other family member,Urban community, , ,Morogoro,Several times a year,Through mobile phone using the same network,Social event
966,Other family member,Urban community, , ,Dar es Salaam,When you can,Through mobile phone using the same network,Social event
976,Other family member,Urban community, , ,Arusha,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
7642,Other family member,Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone using the same network,Social event
5141,Other family member,Urban community, , ,Tanga,When you can,Through mobile phone using the same network,Social event
7664,Other family member,Urban community, , ,Mwanza,Several times a year,Through mobile phone using the same network,Social event
5143,Other family member,Rural village, , ,Iringa,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
6427,Other family member,Urban community, , ,Mjini Magharibi,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
9194,Other family member,Urban community, , ,Iringa,When you can,Through mobile phone using the same network,Social event
5725,Other family member,Urban community, , ,Geita,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
1016,Other family member,Urban community, , ,Tanga,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
2466,Other family member,Rural village, , ,Iringa,Only once off/Once a year,Through mobile phone using the same network,Social event
1041,Other family member,Urban community, , ,Tanga,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
311,Other family member,Urban community, , ,Dodoma,Only once off/Once a year,Through mobile phone using the same network,Social event
8191,Other family member,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
3166,Other family member,Urban community, , ,Dar es Salaam,When you can,Through mobile phone using the same network,Social event
8613,Other family member,Urban community, , ,Tabora,Seasonally,Through mobile phone using the same network,Social event
1061,Other family member,Urban community, , ,Dar es Salaam,Seasonally,Through mobile phone using the same network,Social event
3932,Other family member,Rural village, , ,Singida,Seasonally,Through mobile phone using the same network,Social event
9896,Other family member,Urban community, , ,Mjini Magharibi,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
9898,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
1085,Other family member,Urban community, , ,Arusha,Monthly,Through mobile phone using the same network,Social event
7091,Other family member,Urban community, , ,Dodoma,Several times a year,Through mobile phone using the same network,Social event
338,Other family member,Urban community, , ,Dar es Salaam,When you can,Through mobile phone using the same network,Social event
9913,Other family member,Urban community, , ,Kusini Pemba,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
7853,Other family member,Urban community, , ,Mwanza,Seasonally,Through mobile phone using the same network,Social event
2725,Other family member,Urban community, , ,Mbeya,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
1148,Other family member,Urban community, , ,Arusha,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
8652,Other family member,Urban community, , ,Shinyanga,Seasonally,Through mobile phone using the same network,Social event
2989,Child,Urban community, , ,Dar es Salaam,When you can,Through mobile phone using the same network,Social event
2569,Child,Urban community, , ,Songwe,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
5849,Child,Rural village, , ,Dar es Salaam,Several times a year,Through mobile phone using the same network,Social event
8149,Child,Rural village, , ,Ruvuma,When you can,Through mobile phone using the same network,Social event
8671,Child,Urban community, , ,Dar es Salaam,When you can,Through mobile phone using the same network,Social event
998,Child,Urban community, , ,Dar es Salaam,When you can,Through mobile phone using the same network,Social event
704,Child,Urban community, , ,Arusha,Seasonally,Through mobile phone using the same network,Social event
6090,Child,Urban community, , ,Dar es Salaam,When you can,Through mobile phone using the same network,Social event
747,Child,Urban community, , ,Tanga,When you can,Through mobile phone using the same network,Social event
7790,Child,Urban community, , ,Pwani,Monthly,Through mobile phone using the same network,Social event
790,Child,Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone using the same network,Social event
5247,Spouse,Urban community, , ,Tabora,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
8393,Spouse,Urban community, , ,Mbeya,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
8062,Friend,Urban community, , ,Dar es Salaam,When you can,Bank transfer/Pay into bank account,Social event
2181,Other family member,Urban community, , ,Ruvuma,Several times a year,Bank transfer/Pay into bank account,Social event
7857,Child,Urban community, , ,Dar es Salaam,Several times a year,Bank transfer/Pay into bank account,Social event
6714,Other family member,Urban community, , ,Dodoma,Several times a year,Friends or family takes it there,Funeral expenses
8026,Friend,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone:different network,Funeral expenses
7063,Friend,Urban community, , ,Kusini Pemba,When they ask you to/in an emergency,Through mobile phone:different network,Funeral expenses
8270,Friend,Urban community, , ,Mwanza,When you can,Through mobile phone:different network,Funeral expenses
7464,Other family member,Urban community, , ,Mtwara,When they ask you to/in an emergency,Through mobile phone:different network,Funeral expenses
5903,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone:different network,Funeral expenses
5297,Other family member,Urban community, , ,Katavi,When they ask you to/in an emergency,Through mobile phone:different network,Funeral expenses
4166,Other family member,Urban community, , ,Arusha,When they ask you to/in an emergency,Through mobile phone:different network,Funeral expenses
9331,Other family member,Urban community, , ,Mwanza,Only once off/Once a year,Through mobile phone:different network,Funeral expenses
5833,Parent,Urban community, , ,Mbeya,When they ask you to/in an emergency,Through mobile phone:different network,Funeral expenses
2407,Friend,Rural village, , ,Iringa,When they ask you to/in an emergency,Through mobile phone using the same network,Funeral expenses
7958,Friend,Urban community, , ,Mtwara,Several times a year,Through mobile phone using the same network,Funeral expenses
9874,Friend,Urban community, , ,Mjini Magharibi,When they ask you to/in an emergency,Through mobile phone using the same network,Funeral expenses
8611,Friend,Urban community, , ,Tabora,Seasonally,Through mobile phone using the same network,Funeral expenses
1614,Friend,Urban community, , ,Pwani,When they ask you to/in an emergency,Through mobile phone using the same network,Funeral expenses
7950,Other family member,Urban community, , ,Mtwara,Only once off/Once a year,Through mobile phone using the same network,Funeral expenses
7528,Other family member,Rural village, , ,Morogoro,Only once off/Once a year,Through mobile phone using the same network,Funeral expenses
4854,Other family member,Rural village, , ,Manyara,When they ask you to/in an emergency,Through mobile phone using the same network,Funeral expenses
504,Other family member,Urban community, , ,Dar es Salaam,Only once off/Once a year,Through mobile phone using the same network,Funeral expenses
5305,Other family member,Rural village, , ,Katavi,When they ask you to/in an emergency,Through mobile phone using the same network,Funeral expenses
