SN,Exp_id,E14_3,E14_2
7412,You had large unforeseen death/funeral expenses,No,Borrowed money
7412,You had large unforeseen medical expenses,No,Borrowed money
3978,You had large unforeseen medical expenses,Yes,Cut down on expenses
3978,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
3978,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Cut down on expenses
3978,You had large unforeseen death/funeral expenses,Yes,Sold agriproducts/livestock/harvest
3978,You received no money/less money than you expected,Yes,Cut down on expenses
804,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Sold agriproducts/livestock/harvest
2954,You received no money/less money than you expected,Yes,Cut down on expenses
2954,You had large unforeseen medical expenses,Yes,Cut down on expenses
2954,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Sold agriproducts/livestock/harvest
2954,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
5593,You had large unforeseen medical expenses,Yes,Used savings;
5593,You received no money/less money than you expected,Yes,Used savings;
6631,Harvest/crop failure/loss of livestock only for those who farm?,No,Nothing
8999,You had large unforeseen medical expenses,Yes,Cut down on expenses
8999,You received no money/less money than you expected,Yes,Cut down on expenses
8999,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Cut down on expenses
4271,You received no money/less money than you expected,Yes,Nothing
805,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
9573,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
6632,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Used savings;
6632,You received no money/less money than you expected,Yes,Used savings;
7414,You received no money/less money than you expected,Yes,Used savings;
6497,Harvest/crop failure/loss of livestock only for those who farm?,No,Nothing
1670,You had large unforeseen medical expenses,No,Worked more/did casual jobs
1477,You received no money/less money than you expected,Yes,Worked more/did casual jobs
2544,You had large unforeseen death/funeral expenses,Yes,Sold agriproducts/livestock/harvest
2544,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
4752,You had large unforeseen medical expenses,No,Help from friends/relatives/community/Government
583,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Borrowed money
1170,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
1170,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Worked more/did casual jobs
1170,You had large unforeseen medical expenses,Yes,Worked more/did casual jobs
3264,You had large unforeseen medical expenses,Yes,Borrowed money
9812,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
2545,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
2545,You had large unforeseen death/funeral expenses,Yes,Worked more/did casual jobs
6813,You had large unforeseen medical expenses,Yes,Nothing
3979,You received no money/less money than you expected,Yes,Cut down on expenses
3979,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
7304,You received no money/less money than you expected,Yes,Cut down on expenses
9489,Harvest/crop failure/loss of livestock only for those who farm?,No,Cut down on expenses
9489,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Cut down on expenses
9489,You received no money/less money than you expected,Yes,Sold agriproducts/livestock/harvest
6346,You had large unforeseen medical expenses,No,Nothing
5594,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
5594,You had large unforeseen medical expenses,Yes,Used savings;
5594,You received no money/less money than you expected,Yes,Cut down on expenses
5594,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Nothing
3265,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
3265,You had large unforeseen medical expenses,Yes,Worked more/did casual jobs
3265,You received no money/less money than you expected,Yes,Worked more/did casual jobs
1865,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Used savings;
1865,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Used savings;
1865,You received no money/less money than you expected,Yes,Used savings;
807,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Nothing
807,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Sold agriproducts/livestock/harvest
8288,You had large unforeseen medical expenses,Yes,Help from friends/relatives/community/Government
6633,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
8716,You had large unforeseen medical expenses,Yes,Cut down on expenses
5595,You had large unforeseen medical expenses,Yes,Borrowed money
5595,You received no money/less money than you expected,Yes,Cut down on expenses
5595,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
5595,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Nothing
5361,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
8116,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
9161,You had large unforeseen medical expenses,Yes,Used savings;
6347,You had large unforeseen medical expenses,No,Nothing
6347,You had large unforeseen death/funeral expenses,Yes,Borrowed money
9221,You received no money/less money than you expected,Yes,Worked more/did casual jobs
9221,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
9221,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Worked more/did casual jobs
9604,You received no money/less money than you expected,Yes,Used savings;
9604,You had large unforeseen medical expenses,Yes,Used savings;
9604,You had large unforeseen death/funeral expenses,Yes,Used savings;
8026,"You had large unforeseen expenses, specify",Yes,Nothing
8226,You had large unforeseen medical expenses,Yes,Nothing
8226,You had large unforeseen death/funeral expenses,Yes,Nothing
6498,You had large unforeseen medical expenses,No,Help from friends/relatives/community/Government
9605,"You had large unforeseen expenses, specify",Yes,Used savings;
2546,You had large unforeseen death/funeral expenses,Yes,Used savings;
9856,You received no money/less money than you expected,Yes,Worked more/did casual jobs
6634,You received no money/less money than you expected,Yes,Nothing
6634,You had large unforeseen medical expenses,No,Nothing
6635,You had large unforeseen medical expenses,No,Sold an asset/something obtained for this purpose
5363,You had large unforeseen medical expenses,Yes,Nothing
392,You received no money/less money than you expected,Yes,Sold agriproducts/livestock/harvest
392,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
7417,You received no money/less money than you expected,Yes,Sold agriproducts/livestock/harvest
7418,You received no money/less money than you expected,Yes,Cut down on expenses
1479,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Nothing
584,You received no money/less money than you expected,Yes,Worked more/did casual jobs
4538,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Worked more/did casual jobs
4538,You had large unforeseen death/funeral expenses,Yes,Worked more/did casual jobs
4538,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
4538,You had large unforeseen medical expenses,Yes,Worked more/did casual jobs
6636,You received no money/less money than you expected,Yes,Used savings;
809,You received no money/less money than you expected,Yes,Sold agriproducts/livestock/harvest
809,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Borrowed money
9001,You received no money/less money than you expected,Yes,Borrowed money
9001,You had large unforeseen medical expenses,Yes,Borrowed money
2955,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Borrowed money
585,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
585,You received no money/less money than you expected,Yes,Nothing
810,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
6993,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
6993,You received no money/less money than you expected,Yes,Cut down on expenses
5990,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
811,Harvest/crop failure/loss of livestock only for those who farm?,No,Nothing
3267,Harvest/crop failure/loss of livestock only for those who farm?,No,Nothing
2352,You received no money/less money than you expected,Yes,Worked more/did casual jobs
2352,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Worked more/did casual jobs
2352,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
5598,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Sold agriproducts/livestock/harvest
5598,You received no money/less money than you expected,Yes,Worked more/did casual jobs
5817,You had large unforeseen death/funeral expenses,Yes,Borrowed money
5817,You received no money/less money than you expected,Yes,Borrowed money
5817,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Borrowed money
92,You received no money/less money than you expected,Yes,Cut down on expenses
92,You had large unforeseen medical expenses,No,Help from friends/relatives/community/Government
3466,You had large unforeseen medical expenses,Yes,Nothing
3466,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Nothing
3466,You received no money/less money than you expected,Yes,Nothing
7419,You received no money/less money than you expected,Yes,Used savings;
7419,"You had large unforeseen expenses, specify",Yes,Used savings;
5599,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
5599,You received no money/less money than you expected,Yes,Cut down on expenses
5599,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Worked more/did casual jobs
5599,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
1480,You received no money/less money than you expected,Yes,Worked more/did casual jobs
1480,You had large unforeseen death/funeral expenses,Yes,Worked more/did casual jobs
1480,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Worked more/did casual jobs
1480,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
586,You received no money/less money than you expected,Yes,Cut down on expenses
1866,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Cut down on expenses
1866,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
31,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
9607,You received no money/less money than you expected,Yes,Cut down on expenses
8360,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Used savings;
1481,You received no money/less money than you expected,Yes,Used savings;
1481,You had large unforeseen medical expenses,Yes,Used savings;
6499,"You had large unforeseen expenses, specify",Yes,Cut down on expenses
812,You received no money/less money than you expected,Yes,Borrowed money
812,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Nothing
812,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
5600,You had large unforeseen medical expenses,Yes,Worked more/did casual jobs
5600,You received no money/less money than you expected,Yes,Worked more/did casual jobs
5600,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
4755,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
1867,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,No,Nothing
1867,You had large unforeseen medical expenses,Yes,Help from friends/relatives/community/Government
1867,You had large unforeseen death/funeral expenses,No,Sold asset/something not obtained for this purpose
1867,Harvest/crop failure/loss of livestock only for those who farm?,No,Nothing
5601,You had large unforeseen medical expenses,Yes,Used savings;
1482,You had large unforeseen death/funeral expenses,Yes,Used savings;
1482,You had large unforeseen medical expenses,Yes,Used savings;
1482,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Used savings;
6142,You received no money/less money than you expected,Yes,Cut down on expenses
3980,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
3980,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Cut down on expenses
3980,You received no money/less money than you expected,Yes,Cut down on expenses
9608,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Borrowed money
2737,You had large unforeseen death/funeral expenses,Yes,Help from friends/relatives/community/Government
4539,You had large unforeseen medical expenses,Yes,Worked more/did casual jobs
4539,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Worked more/did casual jobs
3981,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Sold agriproducts/livestock/harvest
3981,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
3981,You received no money/less money than you expected,Yes,Cut down on expenses
6500,You received no money/less money than you expected,Yes,Worked more/did casual jobs
9609,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Nothing
4540,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
815,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
815,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Nothing
815,You received no money/less money than you expected,Yes,Cut down on expenses
3268,You had large unforeseen medical expenses,Yes,Sold an asset/something obtained for this purpose
9354,You received no money/less money than you expected,Yes,Cut down on expenses
9354,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Used savings;
2956,You had large unforeseen medical expenses,Yes,Borrowed money
2956,You had large unforeseen death/funeral expenses,Yes,Cut down on expenses
8028,You received no money/less money than you expected,Yes,Cut down on expenses
8028,You had large unforeseen medical expenses,Yes,Cut down on expenses
4541,You had large unforeseen medical expenses,Yes,Cut down on expenses
6348,You had large unforeseen death/funeral expenses,Yes,Used savings;
6348,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Used savings;
6348,You received no money/less money than you expected,Yes,Used savings;
6348,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Used savings;
8523,You had large unforeseen medical expenses,Yes,Used savings;
7420,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
7420,You received no money/less money than you expected,Yes,Nothing
7420,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Nothing
9575,You received no money/less money than you expected,Yes,Nothing
2957,You received no money/less money than you expected,Yes,Help from friends/relatives/community/Government
2957,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Help from friends/relatives/community/Government
6637,You received no money/less money than you expected,Yes,Cut down on expenses
6637,You had large unforeseen medical expenses,Yes,Cut down on expenses
6287,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
6287,You received no money/less money than you expected,Yes,Nothing
9224,You had large unforeseen medical expenses,Yes,Cut down on expenses
6288,You had large unforeseen medical expenses,Yes,Used savings;
587,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
587,You received no money/less money than you expected,Yes,Worked more/did casual jobs
587,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
3982,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
3982,You received no money/less money than you expected,Yes,Cut down on expenses
3983,You received no money/less money than you expected,Yes,Cut down on expenses
3983,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Cut down on expenses
3983,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
2738,You received no money/less money than you expected,Yes,Worked more/did casual jobs
5819,You had large unforeseen death/funeral expenses,No,Sold agriproducts/livestock/harvest
5819,You received no money/less money than you expected,Yes,Worked more/did casual jobs
5819,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
5819,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
817,You had large unforeseen medical expenses,Yes,Used savings;
5602,You received no money/less money than you expected,Yes,Worked more/did casual jobs
5602,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
5602,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Nothing
2958,You had large unforeseen medical expenses,Yes,Worked more/did casual jobs
2958,You had large unforeseen death/funeral expenses,Yes,Worked more/did casual jobs
1176,Harvest/crop failure/loss of livestock only for those who farm?,No,Nothing
94,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
2739,You had large unforeseen medical expenses,Yes,Worked more/did casual jobs
9299,You received no money/less money than you expected,Yes,Used savings;
588,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
588,You had large unforeseen medical expenses,Yes,Worked more/did casual jobs
588,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,No,Nothing
5603,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Used savings;
5603,You received no money/less money than you expected,Yes,Used savings;
9355,You received no money/less money than you expected,Yes,Cut down on expenses
9355,You had large unforeseen medical expenses,Yes,Nothing
95,Harvest/crop failure/loss of livestock only for those who farm?,No,Worked more/did casual jobs
8361,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Borrowed money
8361,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Borrowed money
8361,You received no money/less money than you expected,Yes,Borrowed money
8362,You had large unforeseen medical expenses,Yes,Worked more/did casual jobs
2353,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
3469,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Nothing
3469,You received no money/less money than you expected,Yes,Nothing
3469,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
3469,You had large unforeseen medical expenses,Yes,Nothing
1177,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Nothing
1177,You had large unforeseen medical expenses,Yes,Borrowed money
1177,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
818,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Sold agriproducts/livestock/harvest
3986,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Sold asset/something not obtained for this purpose
2354,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
7115,You had large unforeseen medical expenses,Yes,Used savings;
3801,You received no money/less money than you expected,Yes,Used savings;
3801,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Cut down on expenses
6814,"You had large unforeseen expenses, specify",Yes,Used savings;
7422,You received no money/less money than you expected,Yes,Used savings;
7423,You received no money/less money than you expected,No,Nothing
8117,You received no money/less money than you expected,No,Nothing
3470,You had large unforeseen medical expenses,Yes,Borrowed money
2355,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
9610,You had large unforeseen medical expenses,Yes,Borrowed money
7424,You received no money/less money than you expected,No,Cut down on expenses
2547,You had large unforeseen medical expenses,Yes,Borrowed money
8290,You had large unforeseen death/funeral expenses,Yes,Sold agriproducts/livestock/harvest
8290,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
3269,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Claimed insurance/policy pay-out
3269,You had large unforeseen medical expenses,Yes,Worked more/did casual jobs
3269,You received no money/less money than you expected,Yes,Worked more/did casual jobs
2131,You received no money/less money than you expected,Yes,Cut down on expenses
2131,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
2131,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
8029,You had large unforeseen medical expenses,Yes,Worked more/did casual jobs
6503,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
2959,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
819,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
8118,You had large unforeseen death/funeral expenses,Yes,Used savings;
8118,You had large unforeseen medical expenses,Yes,Used savings;
6504,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
6504,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Nothing
6504,You received no money/less money than you expected,Yes,Nothing
8721,You had large unforeseen death/funeral expenses,Yes,Nothing
8721,You had large unforeseen medical expenses,No,Nothing
1868,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Cut down on expenses
1868,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
1868,You received no money/less money than you expected,Yes,Cut down on expenses
9003,You had large unforeseen medical expenses,Yes,Borrowed money
4275,You had large unforeseen medical expenses,Yes,Cut down on expenses
6815,You received no money/less money than you expected,Yes,Nothing
5820,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
1674,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
1674,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Nothing
1674,You had large unforeseen medical expenses,Yes,Nothing
6144,You received no money/less money than you expected,Yes,Nothing
6144,You had large unforeseen medical expenses,Yes,Cut down on expenses
