SN,Pers_id,pay2_2,pay2_3a,pay2_3aOther,pay2_3b__0,pay2_4,pay2_5,pay2_6
9133,Friend,Urban community, , ,Manyara,When they ask you to/in an emergency,Bank transfer/Pay into bank account,Debt payment
4748,Other family member,Rural village, , ,Manyara,Several times a year,Through mobile phone using the same network,Debt payment
6801,Someone I borrowed money from,Urban community, , ,Tanga,When you can,Through mobile phone using the same network,Debt payment
2485,Other family member,Rural village, , ,Iringa,When you can,Through mobile phone using the same network,Debt payment
5462,Someone I borrowed money from,Urban community, , ,Geita,Only once off/Once a year,Through mobile phone using the same network,Debt payment
9704,Other family member,Urban community, , ,Mjini Magharibi,Several times a year,Through mobile phone using the same network,Debt payment
4525,Friend,Rural village, , ,Mwanza,Several times a year,Through mobile phone using the same network,Debt payment
9396,Other family member,Rural village, , ,Shinyanga,Several times a year,Through mobile phone using the same network,Debt payment
8867,Someone I borrowed money from,Rural village, , ,Morogoro,Only once off/Once a year,Through mobile phone using the same network,Debt payment
6639,Someone I borrowed money from,Urban community, , ,Dodoma,Only once off/Once a year,Through Agent,Debt payment
5757,Friend,Rural village, , ,Geita,Only once off/Once a year,Through mobile phone using the same network,Debt payment
9474,Other family member,Urban community, , ,Mwanza,Only once off/Once a year,Through mobile phone using the same network,Debt payment
8950,Friend,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Debt payment
9283,Other family member,Urban community, , ,Kigoma,Seasonally,Through mobile phone: different network,Debt payment
2601,Other family member,Rural village, , ,Mbeya,Several times a year,Friends or family takes it there,Debt payment
6305,Friend,Urban community, , ,Dar es Salaam,Only once off/Once a year,Through Agent,Debt payment
7710,Someone I borrowed money from,Urban community, , ,Dar es Salaam,Only once off/Once a year,Through mobile phone using the same network,Debt payment
1802,Friend,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Debt payment
1344,Friend,Urban community, , ,Arusha,Weekly,Through mobile phone using the same network,Debt payment
6539,Someone I borrowed money from,Rural village, , ,Kusini Pemba,When they ask you to/in an emergency,Through mobile phone using the same network,Debt payment
6592,Someone I borrowed money from,Rural village, , ,Kusini Pemba,Several times a year,Through mobile phone using the same network,Debt payment
4,Other family member,Urban community, , ,Shinyanga,Fortnightly,Through mobile phone using the same network,Debt payment
8298,Someone I borrowed money from,Urban community, , ,Tabora,Only once off/Once a year,Through mobile phone: different network,Debt payment
7504,Friend,Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone: different network,Debt payment
59,Friend,Rural village, , ,Dodoma,When they ask you to/in an emergency,Through mobile phone using the same network,Debt payment
4961,Friend,Rural village, , ,Manyara,When you can,Through mobile phone using the same network,Debt payment
9265,Friend,Rural village, , ,Katavi,When they ask you to/in an emergency,Through Agent,Debt payment
5302,Friend,Urban community, , ,Katavi,When they ask you to/in an emergency,Through mobile phone: different network,Debt payment
4848,Parent,Rural village, , ,Manyara,Weekly,Through mobile phone using the same network,Debt payment
7547,Someone I borrowed money from,Urban community, , ,Mbeya,Weekly,Through mobile phone: different network,Debt payment
9448,Child,Urban community, , ,Dar es Salaam,Only once off/Once a year,Through mobile phone using the same network,Debt payment
4392,Friend,Urban community, , ,Kigoma,When they ask you to/in an emergency,Through mobile phone using the same network,Travel fair
4849,Spouse,Rural village, , ,Manyara,When you can,Through mobile phone using the same network,Travel fair
7814,Child,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone: different network,Travel fair
8073,Other family member,Rural village, , ,Ruvuma,Only once off/Once a year,Through mobile phone: different network,Travel fair
6305,Parent,Rural village, , ,Kusini Pemba,Only once off/Once a year,Through mobile phone using the same network,Travel fair
8090,Child,Urban community, , ,Iringa,When you can,Through mobile phone using the same network,Travel fair
2593,Child,Urban community, , ,Songwe,Only once off/Once a year,Through mobile phone using the same network,Travel fair
2211,Friend,Urban community, , ,Arusha,When they ask you to/in an emergency,Through mobile phone using the same network,Travel fair
8836,Friend,Urban community, , ,Simiyu,When they ask you to/in an emergency,Through mobile phone using the same network,Travel fair
2356,Child,Urban community, , ,Lindi,When they ask you to/in an emergency,Friends or family takes it there,Travel fair
5794,Other family member,Urban community, , ,Dar es Salaam,Only once off/Once a year,Through mobile phone using the same network,Travel fair
1150,Other family member,Urban community, , ,Dar es Salaam,Only once off/Once a year,Through Agent,Travel fair
5892,Other family member,Rural village, , ,Ruvuma,When they ask you to/in an emergency,Through mobile phone using the same network,Travel fair
6503,Other family member,Urban community, , ,Mjini Magharibi,Only once off/Once a year,Through Agent,Travel fair
3242,Spouse,Rural village, , ,Tabora,Several times a year,Through mobile phone using the same network,Travel fair
1645,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through Agent,Personal Expenses
7369,Parent,Rural village, , ,Pwani,When you can,Through Agent,Personal Expenses
1549,Parent,Rural village, , ,Kigoma,When they ask you to/in an emergency,Through Agent,Personal Expenses
1644,Parent,Urban community, , ,Pwani,When you can,Through Agent,Personal Expenses
7313,Other family member,Rural village, , ,Kilimanjaro,Monthly,Through mobile phone: different network,Personal Expenses
1847,Other family member,Rural village, , ,Lindi,When you can,Through Agent,Personal Expenses
7384,Child,Urban community, , ,Mwanza,Several times a year,Through mobile phone: different network,Personal Expenses
1500,Parent,Rural village, , ,Mtwara,When they ask you to/in an emergency,Through Agent,Personal Expenses
3827,Other family member,Urban community, , ,Shinyanga,Only once off/Once a year,Through mobile phone: different network,Personal Expenses
8978,Other family member,Urban community, , ,Mwanza,Several times a year,Through mobile phone: different network,Personal Expenses
9668,Friend,Rural village, , ,Mjini Magharibi,Only once off/Once a year,Through Agent,Personal Expenses
2810,Other family member,Rural village, , ,Manyara,When they ask you to/in an emergency,Through mobile phone: different network,Personal Expenses
7418,Parent,Urban community, , ,Kigoma,When you can,Through mobile phone using the same network,Personal Expenses
3294,"Other, specify",Urban community, , ,Rukwa,Several times a year,Through mobile phone using the same network,Personal Expenses
3454,Friend,Rural village, , ,Rukwa,When you can,Through mobile phone using the same network,Personal Expenses
8270,Parent,Urban community, , ,Tabora,When they ask you to/in an emergency,Through mobile phone: different network,Personal Expenses
8240,Parent,Rural village, , ,Singida,When you can,Through mobile phone: different network,Personal Expenses
2810,Friend,Rural village, , ,Singida,When they ask you to/in an emergency,Through mobile phone: different network,Personal Expenses
2810,Someone I borrowed money from,Rural village, , ,Singida,When you can,Through mobile phone: different network,Personal Expenses
8260,Someone I borrowed money from,Urban community, , ,Singida,When you can,Through mobile phone: different network,Personal Expenses
8273,Friend,Urban community, , ,Singida,When they ask you to/in an emergency,Through mobile phone: different network,Personal Expenses
2939,Friend,Urban community, , ,Singida,When they ask you to/in an emergency,Through mobile phone: different network,Personal Expenses
2939,Someone I borrowed money from,Urban community, , ,Singida,When you can,Through mobile phone: different network,Personal Expenses
8233,Other family member,Rural village, , ,Singida,When they ask you to/in an emergency,Through mobile phone using the same network,Personal Expenses
2856,Parent,Rural village, , ,Singida,When you can,Through mobile phone using the same network,Personal Expenses
6801,Spouse,Urban community, , ,Mbeya,When you can,Through mobile phone: different network,Personal Expenses
7561,Other family member,Urban community, , ,Ruvuma,When they ask you to/in an emergency,Through mobile phone: different network,Personal Expenses
1714,Child,Rural village, , ,Mtwara,When they ask you to/in an emergency,Through Agent,Personal Expenses
7923,Parent,Rural village, , ,Mtwara,When they ask you to/in an emergency,Through Agent,Personal Expenses
1714,Parent,Rural village, , ,Mtwara,When you can,Through Agent,Personal Expenses
1806,Other family member,Rural village, , ,Mtwara,When they ask you to/in an emergency,Through Agent,Personal Expenses
7892,Friend,Rural village, , ,Mtwara,When they ask you to/in an emergency,Through mobile phone using the same network,Personal Expenses
1717,Parent,Rural village, , ,Lindi,When they ask you to/in an emergency,Through Agent,Personal Expenses
7914,Other family member,Rural village, , ,Lindi,When they ask you to/in an emergency,Through Agent,Personal Expenses
7682,Parent,Urban community, , ,Lindi,When you can,Through mobile phone: different network,Personal Expenses
6750,Child,Rural village, , ,Lindi,When they ask you to/in an emergency,Through mobile phone: different network,Personal Expenses
1842,Other family member,Urban community, , ,Lindi,When you can,Through mobile phone using the same network,Personal Expenses
7418,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone: different network,Personal Expenses
7426,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone: different network,Personal Expenses
8249,Other family member,Urban community, , ,Dar es Salaam,When you can,Through mobile phone: different network,Personal Expenses
8249,Friend,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone: different network,Personal Expenses
7685,Parent,Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone: different network,Personal Expenses
7685,Friend,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone: different network,Personal Expenses
8260,Other family member,Urban community, , ,Dar es Salaam,When you can,Through mobile phone: different network,Personal Expenses
6801,Other family member,Urban community, , ,Dar es Salaam,When you can,Through mobile phone: different network,Personal Expenses
6801,Parent,Urban community, , ,Dar es Salaam,When you can,Through mobile phone: different network,Personal Expenses
7426,Parent,Urban community, , ,Dar es Salaam,When you can,Through mobile phone using the same network,Personal Expenses
7426,Friend,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Personal Expenses
2744,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Personal Expenses
7561,Friend,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Personal Expenses
7682,Friend,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Personal Expenses
7861,Parent,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Personal Expenses
7934,Other family member,Urban community, , ,Dar es Salaam,When you can,Through mobile phone using the same network,Personal Expenses
1591,Friend,Urban community, , ,Pwani,When they ask you to/in an emergency,Through mobile phone using the same network,Personal Expenses
2939,Other family member,Urban community, , ,Morogoro,When they ask you to/in an emergency,Through mobile phone: different network,Personal Expenses
6801,Friend,Urban community, , ,Morogoro,When you can,Through mobile phone: different network,Personal Expenses
7685,Other family member,Urban community, , ,Tanga,When they ask you to/in an emergency,Through mobile phone: different network,Personal Expenses
8260,Parent,Rural village, , ,Kilimanjaro,When you can,Through mobile phone: different network,Personal Expenses
7682,Someone I borrowed money from,Urban community, , ,Kilimanjaro,When you can,Through mobile phone using the same network,Personal Expenses
298,Other family member,Urban community, , ,Dodoma,When they ask you to/in an emergency,Through mobile phone: different network,Personal Expenses
2939,Parent,Urban community, , ,Dodoma,Several times a year,Through mobile phone: different network,Personal Expenses
2918,Child,Urban community, , ,Dodoma,When they ask you to/in an emergency,Through mobile phone using the same network,Personal Expenses
8284,Child,Urban community, , ,Singida,When you can,Through mobile phone: different network,Personal Expenses
7536,Parent,Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone: different network,Personal Expenses
1582,Other family member,Urban community, , ,Dodoma,When you can,Through mobile phone using the same network,Personal Expenses
3433,Other family member,Rural village, , ,Rukwa,When you can,Through mobile phone using the same network,Personal Expenses
2206,Other family member,Rural village, , ,Ruvuma,When they ask you to/in an emergency,Through mobile phone using the same network,Personal Expenses
3773,Other family member,Rural village, , ,Mtwara,When you can,Through mobile phone using the same network,Personal Expenses
7352,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through Agent,Personal Expenses
1538,Parent,Rural village, , ,Pwani,When you can,Through Agent,Personal Expenses
1519,Parent,Rural village, , ,Kigoma,When they ask you to/in an emergency,Through mobile phone: different network,Personal Expenses
1676,Parent,Rural village, , ,Lindi,When they ask you to/in an emergency,Through Agent,Personal Expenses
7396,Parent,Rural village, , ,Pwani,When they ask you to/in an emergency,Through Agent,Personal Expenses
1840,Other family member,Rural village, , ,Mtwara,Only once off/Once a year,Through mobile phone using the same network,Personal Expenses
260,Friend,Urban community, , ,Dodoma,When they ask you to/in an emergency,Through Agent,Personal Expenses
265,Friend,Urban community, , ,Iringa,Only once off/Once a year,Through mobile phone: different network,Personal Expenses
9863,Other family member,Urban community, , ,Arusha,Only once off/Once a year,Through Agent,Personal Expenses
2196,Other family member,Urban community, , ,Dar es Salaam,Seasonally,Through mobile phone using the same network,Personal Expenses
6398,Other family member,Urban community, , ,Tanga,When you can,Through mobile phone using the same network,Personal Expenses
9884,Other family member,Urban community, , ,Rukwa,When they ask you to/in an emergency,Through mobile phone using the same network,Personal Expenses
8016,Parent,Rural village, , ,Ruvuma,Weekly,Through mobile phone using the same network,Personal Expenses
4609,Friend,Urban community, , ,Mbeya,Several times a year,Through mobile phone: different network,Personal Expenses
5536,"Other, specify",Urban community, , ,Simiyu,Weekly,Through mobile phone using the same network,Personal Expenses
821,"Other, specify",Urban community, , ,Tanga,Only once off/Once a year,Through mobile phone using the same network,Personal Expenses
7803,Spouse,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Personal Expenses
7667,Parent,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone: different network,Hospital/medical expenses
7854,Friend,Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone: different network,Hospital/medical expenses
291,Other family member,Urban community, , ,Dar es Salaam,When you can,Through mobile phone using the same network,Personal Expenses
1981,Friend,Rural village, , ,Mtwara,When you can,Through mobile phone using the same network,Personal Expenses
1543,Other family member,Urban community, , ,Dar es Salaam,When you can,Through Agent,Personal Expenses
7281,"Other, specify",Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone: different network,Personal Expenses
7918,Friend,Rural village, , ,Lindi,Several times a year,Through mobile phone using the same network,Personal Expenses
6773,Friend,Rural village, , ,Dodoma,Several times a year,Through mobile phone: different network,Personal Expenses
85,"Other, specify",Urban community, , ,Morogoro,Seasonally,Through mobile phone: different network,Personal Expenses
9811,Other family member,Urban community, , ,Kaskazini Unguja,Only once off/Once a year,Through Agent,Personal Expenses
6596,Other family member,Urban community, , ,Mjini Magharibi,When they ask you to/in an emergency,Through mobile phone using the same network,Personal Expenses
9113,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone: different network,Social event
9910,Friend,Rural village, , ,Kusini Pemba,When they ask you to/in an emergency,Through mobile phone: different network,Social event
9777,Other family member,Urban community, , ,Kaskazini Pemba,Several times a year,Through mobile phone: different network,Social event
6385,Parent,Urban community, , ,Mjini Magharibi,When they ask you to/in an emergency,Through mobile phone: different network,Social event
6510,Other family member,Urban community, , ,Mjini Magharibi,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
6442,Other family member,Urban community, , ,Mjini Magharibi,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
9871,Other family member,Urban community, , ,Kusini Unguja,Several times a year,Through mobile phone: different network,Social event
6176,Friend,Rural village, , ,Kusini Unguja,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
7684,Other family member,Urban community, , ,Kaskazini Unguja,When they ask you to/in an emergency,Through mobile phone: different network,Social event
6434,Other family member,Rural village, , ,Kaskazini Unguja,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
5492,Other family member,Urban community, , ,Geita,When they ask you to/in an emergency,Through mobile phone: different network,Social event
5606,Spouse,Rural village, , ,Geita,Seasonally,Through mobile phone using the same network,Social event
9363,Spouse,Rural village, , ,Geita,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
9411,Friend,Rural village, , ,Geita,Only once off/Once a year,Through mobile phone using the same network,Social event
9449,Parent,Urban community, , ,Geita,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
9456,Someone I borrowed money from,Urban community, , ,Geita,Only once off/Once a year,Through mobile phone using the same network,Social event
5466,Friend,Rural village, , ,Simiyu,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
8945,Friend,Urban community, , ,Simiyu,When you can,Through mobile phone using the same network,Social event
840,Other family member,Rural village, , ,Manyara,When you can,Friends or family takes it there,Social event
5010,Other family member,Rural village, , ,Manyara,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
9052,Other family member,Rural village, , ,Mara,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
5509,Parent,Urban community, , ,Mwanza,Several times a year,Through mobile phone: different network,Social event
5006,Friend,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
8634,Other family member,Urban community, , ,Mwanza,Only once off/Once a year,Through mobile phone using the same network,Social event
8654,Friend,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
8573,Other family member,Rural village, , ,Kagera,Several times a year,Through mobile phone using the same network,Social event
8981,Other family member,Urban community, , ,Kagera,When you can,Through mobile phone using the same network,Social event
8586,Other family member,Rural village, , ,Shinyanga,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
8650,Other family member,Rural village, , ,Shinyanga,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
8465,Other family member,Urban community, , ,Kigoma,When they ask you to/in an emergency,Through mobile phone: different network,Social event
9372,Other family member,Urban community, , ,Rukwa,Several times a year,Through mobile phone: different network,Social event
7664,Other family member,Rural village, , ,Rukwa,Several times a year,Through mobile phone: different network,Social event
3012,Other family member,Urban community, , ,Tabora,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
689,Friend,Rural village, , ,Singida,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
8599,Other family member,Rural village, , ,Singida,Seasonally,Through mobile phone using the same network,Social event
8196,Other family member,Urban community, , ,Mbeya,Several times a year,Through mobile phone using the same network,Social event
1065,Other family member,Urban community, , ,Mbeya,When you can,Through mobile phone using the same network,Social event
7473,Friend,Urban community, , ,Iringa,Several times a year,Through mobile phone: different network,Social event
2496,Parent,Rural village, , ,Iringa,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
5189,Parent,Urban community, , ,Iringa,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
7518,Other family member,Urban community, , ,Ruvuma,Several times a year,Through mobile phone: different network,Social event
7456,Other family member,Rural village, , ,Ruvuma,Seasonally,Through mobile phone using the same network,Social event
8213,Child,Rural village, , ,Ruvuma,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
1935,Other family member,Rural village, , ,Mtwara,Only once off/Once a year,Through mobile phone: different network,Social event
1866,Other family member,Rural village, , ,Mtwara,When you can,Through mobile phone using the same network,Social event
7853,Other family member,Urban community, , ,Mtwara,Fortnightly,Through mobile phone using the same network,Social event
7745,Other family member,Urban community, , ,Lindi,Several times a year,Friends or family takes it there,Social event
1696,Friend,Urban community, , ,Lindi,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
931,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through Agent,Social event
6354,Parent,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone: different network,Social event
2418,Child,Urban community, , ,Dar es Salaam,Only once off/Once a year,Through mobile phone: different network,Social event
2209,Other family member,Urban community, , ,Dar es Salaam,Only once off/Once a year,Through mobile phone: different network,Social event
237,Someone I borrowed money from,Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone: different network,Social event
14,Friend,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone: different network,Social event
7055,Parent,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone: different network,Social event
8897,Friend,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone: different network,Social event
6738,Other family member,Urban community, , ,Dar es Salaam,When you can,Through mobile phone: different network,Social event
1057,Other family member,Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone: different network,Social event
4710,Child,Urban community, , ,Dar es Salaam,Only once off/Once a year,Through mobile phone: different network,Social event
3026,Friend,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
2239,Parent,Urban community, , ,Dar es Salaam,Monthly,Through mobile phone using the same network,Social event
991,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
9511,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
7672,Friend,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
290,Other family member,Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone using the same network,Social event
338,Parent,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
8509,Child,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
6918,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
7856,Friend,Urban community, , ,Dar es Salaam,Only once off/Once a year,Through mobile phone using the same network,Social event
1630,Other family member,Rural village, , ,Pwani,When they ask you to/in an emergency,Through Agent,Social event
7350,Friend,Urban community, , ,Pwani,When they ask you to/in an emergency,Through mobile phone: different network,Social event
7788,Friend,Urban community, , ,Pwani,When they ask you to/in an emergency,Through mobile phone: different network,Social event
7312,Parent,Urban community, , ,Pwani,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
4985,Child,Urban community, , ,Pwani,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
7857,Child,Urban community, , ,Pwani,Several times a year,Bank transfer/Pay into bank account,Social event
7404,Friend,Urban community, , ,Pwani,When they ask you to/in an emergency,Bank transfer/Pay into bank account,Social event
7620,Other family member,Urban community, , ,Morogoro,Monthly,Through mobile phone: different network,Social event
1009,Parent,Urban community, , ,Morogoro,When you can,Through mobile phone: different network,Social event
8607,Other family member,Urban community, , ,Morogoro,When you can,Through mobile phone: different network,Social event
7411,Other family member,Urban community, , ,Morogoro,Several times a year,Through mobile phone using the same network,Social event
4815,Other family member,Rural village, , ,Morogoro,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
7167,Other family member,Rural village, , ,Morogoro,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
7243,Other family member,Urban community, , ,Morogoro,Several times a year,Through mobile phone using the same network,Social event
7104,Other family member,Rural village, , ,Tanga,When they ask you to/in an emergency,Through Agent,Social event
849,Other family member,Urban community, , ,Tanga,When you can,Through mobile phone: different network,Social event
1027,Child,Rural village, , ,Tanga,Only once off/Once a year,Through mobile phone: different network,Social event
7117,Child,Urban community, , ,Tanga,When you can,Through mobile phone using the same network,Social event
844,Friend,Rural village, , ,Tanga,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
7465,Parent,Urban community, , ,Tanga,Fortnightly,Through mobile phone using the same network,Social event
626,Other family member,Rural village, , ,Tanga,When you can,Through mobile phone using the same network,Social event
966,Other family member,Rural village, , ,Tanga,When you can,Through mobile phone using the same network,Social event
7086,Other family member,Urban community, , ,Tanga,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
7105,Other family member,Rural village, , ,Tanga,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
584,Friend,Rural village, , ,Kilimanjaro,Monthly,Through mobile phone using the same network,Social event
7578,Other family member,Urban community, , ,Kilimanjaro,Several times a year,Through mobile phone using the same network,Social event
340,Parent,Rural village, , ,Kilimanjaro,Only once off/Once a year,Through mobile phone using the same network,Social event
340,Other family member,Rural village, , ,Kilimanjaro,Only once off/Once a year,Through mobile phone using the same network,Social event
7100,Other family member,Urban community, , ,Arusha,When they ask you to/in an emergency,Through mobile phone: different network,Social event
9201,Other family member,Urban community, , ,Arusha,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
5520,Other family member,Urban community, , ,Arusha,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
5006,Other family member,Urban community, , ,Arusha,When they ask you to/in an emergency,Through mobile phone using the same network,Social event
6725,Other family member,Urban community, , ,Arusha,Several times a year,Bank transfer/Pay into bank account,Social event
6725,Friend,Urban community, , ,Arusha,Several times a year,Bank transfer/Pay into bank account,Social event
8591,Other family member,Outside of Tanzania,Rwanda, , ,Weekly,Bank transfer/Pay into bank account,Social event
6318,Other family member,Urban community, , ,Morogoro,When they ask you to/in an emergency,Through mobile phone using the same network,Funeral expenses
9696,Other family member,Rural village, , ,Kusini Pemba,When they ask you to/in an emergency,Through mobile phone: different network,Funeral expenses
9840,Other family member,Urban community, , ,Mjini Magharibi,Only once off/Once a year,Through Agent,Funeral expenses
5628,Other family member,Rural village, , ,Geita,When they ask you to/in an emergency,Through mobile phone using the same network,Funeral expenses
2568,Other family member,Rural village, , ,Simiyu,Several times a year,Through mobile phone: different network,Funeral expenses
9410,Other family member,Urban community, , ,Mara,When you can,Through mobile phone using the same network,Funeral expenses
4633,Other family member,Rural village, , ,Mara,When they ask you to/in an emergency,Through mobile phone using the same network,Funeral expenses
7435,Friend,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone: different network,Funeral expenses
4339,Other family member,Rural village, , ,Mwanza,Only once off/Once a year,Through mobile phone using the same network,Funeral expenses
4370,Other family member,Rural village, , ,Mwanza,When you can,Through mobile phone using the same network,Funeral expenses
5460,Other family member,Rural village, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Funeral expenses
9018,Parent,Rural village, , ,Kagera,Several times a year,Through mobile phone: different network,Funeral expenses
5766,Parent,Rural village, , ,Shinyanga,When you can,Through mobile phone: different network,Funeral expenses
8634,Spouse,Urban community, , ,Shinyanga,Seasonally,Through mobile phone: different network,Funeral expenses
2545,Parent,Rural village, , ,Tabora,When they ask you to/in an emergency,Through mobile phone: different network,Funeral expenses
9299,Other family member,Urban community, , ,Tabora,Only once off/Once a year,Through mobile phone using the same network,Funeral expenses
8102,Parent,Urban community, , ,Mbeya,When they ask you to/in an emergency,Through mobile phone using the same network,Funeral expenses
8110,Other family member,Rural village, , ,Iringa,Several times a year,Through mobile phone using the same network,Funeral expenses
